PicoQuant FluoFit 4.6.5.0
Saved : 9/23/2014 12:39:33 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #18 Decay: "\..\export for fluofit.dat" (19)
Plotted Data Set #18 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.2615 ; Fitted Data Points: 917

Data Set #18
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    0.0000          1    0.0460          8    0.0000      0.000    0.0000      0.000
    0.0040          0    0.0500          6    0.0040      0.000    0.0040      0.000
    0.0080          0    0.0540          4    0.0080      0.000    0.0080      0.000
    0.0120          0    0.0580          5    0.0120      0.000    0.0120      0.000
    0.0160          0    0.0620          8    0.0160      0.000    0.0160      0.000
    0.0200          0    0.0660          7    0.0200      0.000    0.0200      0.000
    0.0240          0    0.0700          9    0.0240      0.000    0.0240      0.000
    0.0280          0    0.0740          4    0.0280      0.000    0.0280      0.000
    0.0320          0    0.0780          6    0.0320      0.000    0.0320      0.000
    0.0360          0    0.0820          8    0.0360      0.000    0.0360      0.000
    0.0400          0    0.0860          8    0.0400      0.000    0.0400      0.000
    0.0440          0    0.0900          9    0.0440      0.000    0.0440      0.000
    0.0480          0    0.0940         10    0.0480      0.000    0.0480      0.000
    0.0520          0    0.0980          8    0.0520      0.000    0.0520      0.000
    0.0560          0    0.1020          7    0.0560      0.000    0.0560      0.000
    0.0600          1    0.1060          9    0.0600      0.000    0.0600      0.000
    0.0640          0    0.1100          8    0.0640      0.000    0.0640      0.000
    0.0680          0    0.1140          4    0.0680      0.000    0.0680      0.000
    0.0720          0    0.1180          7    0.0720      0.000    0.0720      0.000
    0.0760          0    0.1220          6    0.0760      0.000    0.0760      0.000
    0.0800          0    0.1260          9    0.0800      0.000    0.0800      0.000
    0.0840          0    0.1300         11    0.0840      0.000    0.0840      0.000
    0.0880          0    0.1340          5    0.0880      0.000    0.0880      0.000
    0.0920          0    0.1380          7    0.0920      0.000    0.0920      0.000
    0.0960          0    0.1420          5    0.0960      0.000    0.0960      0.000
    0.1000          1    0.1460         12    0.1000      0.000    0.1000      0.000
    0.1040          1    0.1500          4    0.1040      0.000    0.1040      0.000
    0.1080          0    0.1540          9    0.1080      0.000    0.1080      0.000
    0.1120          0    0.1580          6    0.1120      0.000    0.1120      0.000
    0.1160          0    0.1620          6    0.1160      0.000    0.1160      0.000
    0.1200          0    0.1660          6    0.1200      0.000    0.1200      0.000
    0.1240          0    0.1700          9    0.1240      0.000    0.1240      0.000
    0.1280          1    0.1740          8    0.1280      0.000    0.1280      0.000
    0.1320          0    0.1780          7    0.1320      0.000    0.1320      0.000
    0.1360          0    0.1820         10    0.1360      0.000    0.1360      0.000
    0.1400          0    0.1860          7    0.1400      0.000    0.1400      0.000
    0.1440          0    0.1900          8    0.1440      0.000    0.1440      0.000
    0.1480          0    0.1940          4    0.1480      0.000    0.1480      0.000
    0.1520          0    0.1980          3    0.1520      0.000    0.1520      0.000
    0.1560          0    0.2020         10    0.1560      0.000    0.1560      0.000
    0.1600          1    0.2060         10    0.1600      0.000    0.1600      0.000
    0.1640          0    0.2100         12    0.1640      0.000    0.1640      0.000
    0.1680          0    0.2140         12    0.1680      0.000    0.1680      0.000
    0.1720          1    0.2180          9    0.1720      0.000    0.1720      0.000
    0.1760          0    0.2220          0    0.1760      0.000    0.1760      0.000
    0.1800          1    0.2260          4    0.1800      0.000    0.1800      0.000
    0.1840          1    0.2300          8    0.1840      0.000    0.1840      0.000
    0.1880          0    0.2340          9    0.1880      0.000    0.1880      0.000
    0.1920          0    0.2380          6    0.1920      0.000    0.1920      0.000
    0.1960          1    0.2420          4    0.1960      0.000    0.1960      0.000
    0.2000          0    0.2460          5    0.2000      0.000    0.2000      0.000
    0.2040          0    0.2500          6    0.2040      0.000    0.2040      0.000
    0.2080          1    0.2540          3    0.2080      0.000    0.2080      0.000
    0.2120          1    0.2580          4    0.2120      0.000    0.2120      0.000
    0.2160          0    0.2620         11    0.2160      0.000    0.2160      0.000
    0.2200          0    0.2660          4    0.2200      0.000    0.2200      0.000
    0.2240          0    0.2700          8    0.2240      0.000    0.2240      0.000
    0.2280          1    0.2740          7    0.2280      0.000    0.2280      0.000
    0.2320          1    0.2780          7    0.2320      0.000    0.2320      0.000
    0.2360          1    0.2820         10    0.2360      0.000    0.2360      0.000
    0.2400          0    0.2860          4    0.2400      0.000    0.2400      0.000
    0.2440          1    0.2900          8    0.2440      0.000    0.2440      0.000
    0.2480          1    0.2940         10    0.2480      0.000    0.2480      0.000
    0.2520          0    0.2980          4    0.2520      0.000    0.2520      0.000
    0.2560          0    0.3020          5    0.2560      0.000    0.2560      0.000
    0.2600          1    0.3060          8    0.2600      0.000    0.2600      0.000
    0.2640          0    0.3100          2    0.2640      0.000    0.2640      0.000
    0.2680          0    0.3140          6    0.2680      0.000    0.2680      0.000
    0.2720          0    0.3180          7    0.2720      0.000    0.2720      0.000
    0.2760          0    0.3220          7    0.2760      0.000    0.2760      0.000
    0.2800          1    0.3260         10    0.2800      0.000    0.2800      0.000
    0.2840          0    0.3300          7    0.2840      0.000    0.2840      0.000
    0.2880          0    0.3340          8    0.2880      0.000    0.2880      0.000
    0.2920          0    0.3380         11    0.2920      0.000    0.2920      0.000
    0.2960          0    0.3420          8    0.2960      0.000    0.2960      0.000
    0.3000          1    0.3460          5    0.3000      0.000    0.3000      0.000
    0.3040          1    0.3500          6    0.3040      0.000    0.3040      0.000
    0.3080          2    0.3540          9    0.3080      0.000    0.3080      0.000
    0.3120          1    0.3580          8    0.3120      0.000    0.3120      0.000
    0.3160          0    0.3620         10    0.3160      0.000    0.3160      0.000
    0.3200          1    0.3660         10    0.3200      0.000    0.3200      0.000
    0.3240          0    0.3700          5    0.3240      0.000    0.3240      0.000
    0.3280          1    0.3740          8    0.3280      0.000    0.3280      0.000
    0.3320          0    0.3780          9    0.3320      0.000    0.3320      0.000
    0.3360          2    0.3820          4    0.3360      0.000    0.3360      0.000
    0.3400          0    0.3860          5    0.3400      0.000    0.3400      0.000
    0.3440          0    0.3900          7    0.3440      0.000    0.3440      0.000
    0.3480          0    0.3940          5    0.3480      0.000    0.3480      0.000
    0.3520          1    0.3980          5    0.3520      0.000    0.3520      0.000
    0.3560          1    0.4020          6    0.3560      0.000    0.3560      0.000
    0.3600          0    0.4060          7    0.3600      0.000    0.3600      0.000
    0.3640          0    0.4100          9    0.3640      0.000    0.3640      0.000
    0.3680          0    0.4140          8    0.3680      0.000    0.3680      0.000
    0.3720          0    0.4180          6    0.3720      0.000    0.3720      0.000
    0.3760          0    0.4220          7    0.3760      0.000    0.3760      0.000
    0.3800          0    0.4260         12    0.3800      0.000    0.3800      0.000
    0.3840          0    0.4300         11    0.3840      0.000    0.3840      0.000
    0.3880          0    0.4340          8    0.3880      0.000    0.3880      0.000
    0.3920          0    0.4380         16    0.3920      0.000    0.3920      0.000
    0.3960          0    0.4420          3    0.3960      0.000    0.3960      0.000
    0.4000          1    0.4460          9    0.4000      0.000    0.4000      0.000
    0.4040          0    0.4500          7    0.4040      0.000    0.4040      0.000
    0.4080          0    0.4540         10    0.4080      0.000    0.4080      0.000
    0.4120          0    0.4580          9    0.4120      0.000    0.4120      0.000
    0.4160          0    0.4620          8    0.4160      0.000    0.4160      0.000
    0.4200          0    0.4660          7    0.4200      0.000    0.4200      0.000
    0.4240          0    0.4700          4    0.4240      0.000    0.4240      0.000
    0.4280          1    0.4740          5    0.4280      0.000    0.4280      0.000
    0.4320          0    0.4780          8    0.4320      0.000    0.4320      0.000
    0.4360          0    0.4820          7    0.4360      0.000    0.4360      0.000
    0.4400          0    0.4860          3    0.4400      0.000    0.4400      0.000
    0.4440          0    0.4900          5    0.4440      0.265    0.4440     -0.192
    0.4480          0    0.4940         11    0.4480      0.265    0.4480     -0.192
    0.4520          1    0.4980          7    0.4520      0.265    0.4520      0.513
    0.4560          0    0.5020          5    0.4560      0.265    0.4560     -0.192
    0.4600          0    0.5060         12    0.4600      0.265    0.4600     -0.192
    0.4640          1    0.5100          4    0.4640      0.265    0.4640      0.513
    0.4680          0    0.5140          8    0.4680      0.265    0.4680     -0.192
    0.4720          0    0.5180         10    0.4720      0.265    0.4720     -0.192
    0.4760          0    0.5220          5    0.4760      0.265    0.4760     -0.192
    0.4800          0    0.5260          7    0.4800      0.265    0.4800     -0.192
    0.4840          0    0.5300          9    0.4840      0.265    0.4840     -0.192
    0.4880          0    0.5340          8    0.4880      0.261    0.4880     -0.189
    0.4920          0    0.5380          7    0.4920      0.261    0.4920     -0.190
    0.4960          0    0.5420          8    0.4960      0.265    0.4960     -0.192
    0.5000          0    0.5460          4    0.5000      0.264    0.5000     -0.192
    0.5040          1    0.5500         17    0.5040      0.265    0.5040      0.513
    0.5080          0    0.5540         25    0.5080      0.267    0.5080     -0.194
    0.5120          0    0.5580         42    0.5120      0.265    0.5120     -0.193
    0.5160          0    0.5620         87    0.5160      0.267    0.5160     -0.194
    0.5200          0    0.5660        171    0.5200      0.268    0.5200     -0.195
    0.5240          0    0.5700        349    0.5240      0.267    0.5240     -0.194
    0.5280          0    0.5740        656    0.5280      0.268    0.5280     -0.195
    0.5320          0    0.5780       1174    0.5320      0.269    0.5320     -0.196
    0.5360          0    0.5820       2008    0.5360      0.270    0.5360     -0.196
    0.5400          1    0.5860       3040    0.5400      0.270    0.5400      0.509
    0.5440          0    0.5900       4754    0.5440      0.269    0.5440     -0.196
    0.5480          0    0.5940       6483    0.5480      0.272    0.5480     -0.198
    0.5520          0    0.5980       8288    0.5520      0.288    0.5520     -0.210
    0.5560          0    0.6020      10528    0.5560      0.319    0.5560     -0.232
    0.5600          0    0.6060      11840    0.5600      0.385    0.5600     -0.280
    0.5640          0    0.6100      12846    0.5640      0.525    0.5640     -0.382
    0.5680          1    0.6140      12606    0.5680      0.814    0.5680      0.130
    0.5720          3    0.6180      11702    0.5720      1.383    0.5720      0.768
    0.5760          1    0.6220      10273    0.5760      2.424    0.5760     -0.994
    0.5800          4    0.6260       8583    0.5800      4.234    0.5800     -0.097
    0.5840          4    0.6300       6924    0.5840      7.110    0.5840     -1.291
    0.5880         16    0.6340       5384    0.5880     11.500    0.5880      1.061
    0.5920         16    0.6380       4148    0.5920     17.830    0.5920     -0.431
    0.5960         26    0.6420       3243    0.5960     26.037    0.5960     -0.007
    0.6000         30    0.6460       2637    0.6000     36.297    0.6000     -1.113
    0.6040         52    0.6500       2287    0.6040     48.319    0.6040      0.501
    0.6080         55    0.6540       1836    0.6080     61.140    0.6080     -0.813
    0.6120         87    0.6580       1725    0.6120     73.824    0.6120      1.397
    0.6160         86    0.6620       1582    0.6160     85.094    0.6160      0.097
    0.6200         90    0.6660       1543    0.6200     94.262    0.6200     -0.444
    0.6240        102    0.6700       1398    0.6240    100.929    0.6240      0.105
    0.6280        116    0.6740       1343    0.6280    105.068    0.6280      1.006
    0.6320        109    0.6780       1265    0.6320    106.924    0.6320      0.197
    0.6360         96    0.6820       1252    0.6360    106.885    0.6360     -1.100
    0.6400         99    0.6860       1191    0.6400    105.473    0.6400     -0.644
    0.6440        106    0.6900       1113    0.6440    103.178    0.6440      0.272
    0.6480        102    0.6940       1070    0.6480    100.412    0.6480      0.156
    0.6520         99    0.6980       1112    0.6520     97.340    0.6520      0.165
    0.6560         93    0.7020       1037    0.6560     94.086    0.6560     -0.111
