PicoQuant FluoFit 4.6.5.0
Saved : 2/3/2015 4:29:39 PM

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #73 Decay: "\..\Decay histograms for intensity levels.txt" (77)
Plotted Data Set #73 IRF: "\..\IRF 20140118.phd" (1)
X²(reduced): 0.4116 ; Fitted Data Points: 3168

Data Set #73
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    0.0120          1    0.1010          8    0.0120      0.000    0.0120      0.000
    0.0160          0    0.1050          6    0.0160      0.000    0.0160      0.000
    0.0200          2    0.1090          4    0.0200      0.000    0.0200      0.000
    0.0240          0    0.1130          5    0.0240      0.000    0.0240      0.000
    0.0280          1    0.1170          8    0.0280      0.000    0.0280      0.000
    0.0320          0    0.1210          7    0.0320      0.000    0.0320      0.000
    0.0360          2    0.1250          9    0.0360      0.000    0.0360      0.000
    0.0400          0    0.1290          4    0.0400      0.000    0.0400      0.000
    0.0440          1    0.1330          6    0.0440      0.000    0.0440      0.000
    0.0480          0    0.1370          8    0.0480      0.000    0.0480      0.000
    0.0520          0    0.1410          8    0.0520      0.000    0.0520      0.000
    0.0560          1    0.1450          9    0.0560      0.000    0.0560      0.000
    0.0600          3    0.1490         10    0.0600      0.000    0.0600      0.000
    0.0640          1    0.1530          8    0.0640      0.000    0.0640      0.000
    0.0680          0    0.1570          7    0.0680      0.000    0.0680      0.000
    0.0720          0    0.1610          9    0.0720      0.000    0.0720      0.000
    0.0760          2    0.1650          8    0.0760      0.000    0.0760      0.000
    0.0800          1    0.1690          4    0.0800      0.000    0.0800      0.000
    0.0840          0    0.1730          7    0.0840      0.000    0.0840      0.000
    0.0880          0    0.1770          6    0.0880      0.000    0.0880      0.000
    0.0920          0    0.1810          9    0.0920      0.000    0.0920      0.000
    0.0960          0    0.1850         11    0.0960      0.000    0.0960      0.000
    0.1000          0    0.1890          5    0.1000      0.000    0.1000      0.000
    0.1040          1    0.1930          7    0.1040      0.000    0.1040      0.000
    0.1080          1    0.1970          5    0.1080      0.000    0.1080      0.000
    0.1120          0    0.2010         12    0.1120      0.000    0.1120      0.000
    0.1160          1    0.2050          4    0.1160      0.000    0.1160      0.000
    0.1200          2    0.2090          9    0.1200      0.000    0.1200      0.000
    0.1240          2    0.2130          6    0.1240      0.000    0.1240      0.000
    0.1280          1    0.2170          6    0.1280      0.000    0.1280      0.000
    0.1320          1    0.2210          6    0.1320      0.000    0.1320      0.000
    0.1360          0    0.2250          9    0.1360      0.000    0.1360      0.000
    0.1400          0    0.2290          8    0.1400      0.000    0.1400      0.000
    0.1440          0    0.2330          7    0.1440      0.000    0.1440      0.000
    0.1480          0    0.2370         10    0.1480      0.000    0.1480      0.000
    0.1520          1    0.2410          7    0.1520      0.000    0.1520      0.000
    0.1560          0    0.2450          8    0.1560      0.000    0.1560      0.000
    0.1600          0    0.2490          4    0.1600      0.000    0.1600      0.000
    0.1640          0    0.2530          3    0.1640      0.000    0.1640      0.000
    0.1680          2    0.2570         10    0.1680      0.000    0.1680      0.000
    0.1720          1    0.2610         10    0.1720      0.000    0.1720      0.000
    0.1760          1    0.2650         12    0.1760      0.000    0.1760      0.000
    0.1800          0    0.2690         12    0.1800      0.000    0.1800      0.000
    0.1840          1    0.2730          9    0.1840      0.000    0.1840      0.000
    0.1880          0    0.2770          0    0.1880      0.000    0.1880      0.000
    0.1920          1    0.2810          4    0.1920      0.000    0.1920      0.000
    0.1960          0    0.2850          8    0.1960      0.000    0.1960      0.000
    0.2000          0    0.2890          9    0.2000      0.000    0.2000      0.000
    0.2040          1    0.2930          6    0.2040      0.000    0.2040      0.000
    0.2080          0    0.2970          4    0.2080      0.000    0.2080      0.000
    0.2120          1    0.3010          5    0.2120      0.000    0.2120      0.000
    0.2160          0    0.3050          6    0.2160      0.000    0.2160      0.000
    0.2200          2    0.3090          3    0.2200      0.000    0.2200      0.000
    0.2240          2    0.3130          4    0.2240      0.000    0.2240      0.000
    0.2280          0    0.3170         11    0.2280      0.000    0.2280      0.000
    0.2320          1    0.3210          4    0.2320      0.000    0.2320      0.000
    0.2360          0    0.3250          8    0.2360      0.000    0.2360      0.000
    0.2400          2    0.3290          7    0.2400      0.000    0.2400      0.000
    0.2440          0    0.3330          7    0.2440      0.000    0.2440      0.000
    0.2480          2    0.3370         10    0.2480      0.000    0.2480      0.000
    0.2520          0    0.3410          4    0.2520      0.000    0.2520      0.000
    0.2560          2    0.3450          8    0.2560      0.000    0.2560      0.000
    0.2600          0    0.3490         10    0.2600      0.000    0.2600      0.000
    0.2640          2    0.3530          4    0.2640      0.000    0.2640      0.000
    0.2680          1    0.3570          5    0.2680      0.000    0.2680      0.000
    0.2720          0    0.3610          8    0.2720      0.000    0.2720      0.000
    0.2760          1    0.3650          2    0.2760      0.000    0.2760      0.000
    0.2800          1    0.3690          6    0.2800      0.000    0.2800      0.000
    0.2840          2    0.3730          7    0.2840      0.000    0.2840      0.000
    0.2880          0    0.3770          7    0.2880      0.000    0.2880      0.000
    0.2920          0    0.3810         10    0.2920      0.000    0.2920      0.000
    0.2960          0    0.3850          7    0.2960      0.000    0.2960      0.000
    0.3000          0    0.3890          8    0.3000      0.000    0.3000      0.000
    0.3040          2    0.3930         11    0.3040      0.000    0.3040      0.000
    0.3080          0    0.3970          8    0.3080      0.000    0.3080      0.000
    0.3120          3    0.4010          5    0.3120      0.000    0.3120      0.000
    0.3160          0    0.4050          6    0.3160      0.000    0.3160      0.000
    0.3200          1    0.4090          9    0.3200      0.000    0.3200      0.000
    0.3240          0    0.4130          8    0.3240      0.000    0.3240      0.000
    0.3280          0    0.4170         10    0.3280      0.000    0.3280      0.000
    0.3320          0    0.4210         10    0.3320      0.000    0.3320      0.000
    0.3360          1    0.4250          5    0.3360      0.000    0.3360      0.000
    0.3400          0    0.4290          8    0.3400      0.000    0.3400      0.000
    0.3440          0    0.4330          9    0.3440      0.000    0.3440      0.000
    0.3480          0    0.4370          4    0.3480      0.000    0.3480      0.000
    0.3520          0    0.4410          5    0.3520      0.000    0.3520      0.000
    0.3560          1    0.4450          7    0.3560      0.000    0.3560      0.000
    0.3600          0    0.4490          5    0.3600      0.000    0.3600      0.000
    0.3640          0    0.4530          5    0.3640      0.000    0.3640      0.000
    0.3680          2    0.4570          6    0.3680      0.000    0.3680      0.000
    0.3720          1    0.4610          7    0.3720      0.519    0.3720      0.335
    0.3760          0    0.4650          9    0.3760      0.519    0.3760     -0.378
    0.3800          1    0.4690          8    0.3800      0.519    0.3800      0.335
    0.3840          0    0.4730          6    0.3840      0.519    0.3840     -0.378
    0.3880          2    0.4770          7    0.3880      0.519    0.3880      0.856
    0.3920          0    0.4810         12    0.3920      0.519    0.3920     -0.378
    0.3960          1    0.4850         11    0.3960      0.519    0.3960      0.335
    0.4000          0    0.4890          8    0.4000      0.519    0.4000     -0.378
    0.4040          0    0.4930         16    0.4040      0.519    0.4040     -0.378
    0.4080          0    0.4970          3    0.4080      0.519    0.4080     -0.378
    0.4120          1    0.5010          9    0.4120      0.519    0.4120      0.335
    0.4160          1    0.5050          7    0.4160      0.519    0.4160      0.335
    0.4200          1    0.5090         10    0.4200      0.519    0.4200      0.335
    0.4240          0    0.5130          9    0.4240      0.519    0.4240     -0.378
    0.4280          1    0.5170          8    0.4280      0.519    0.4280      0.335
    0.4320          2    0.5210          7    0.4320      0.519    0.4320      0.856
    0.4360          1    0.5250          4    0.4360      0.519    0.4360      0.335
    0.4400          0    0.5290          5    0.4400      0.519    0.4400     -0.378
    0.4440          0    0.5330          8    0.4440      0.519    0.4440     -0.378
    0.4480          2    0.5370          7    0.4480      0.519    0.4480      0.856
    0.4520          0    0.5410          3    0.4520      0.519    0.4520     -0.378
    0.4560          0    0.5450          5    0.4560      0.519    0.4560     -0.378
    0.4600          0    0.5490         11    0.4600      0.519    0.4600     -0.378
    0.4640          0    0.5530          7    0.4640      0.519    0.4640     -0.378
    0.4680          1    0.5570          5    0.4680      0.519    0.4680      0.335
    0.4720          1    0.5610         12    0.4720      0.519    0.4720      0.335
    0.4760          3    0.5650          4    0.4760      0.519    0.4760      1.178
    0.4800          0    0.5690          8    0.4800      0.519    0.4800     -0.378
    0.4840          0    0.5730         10    0.4840      0.519    0.4840     -0.378
    0.4880          0    0.5770          5    0.4880      0.519    0.4880     -0.378
    0.4920          0    0.5810          7    0.4920      0.519    0.4920     -0.378
    0.4960          1    0.5850          9    0.4960      0.519    0.4960      0.335
    0.5000          0    0.5890          8    0.5000      0.519    0.5000     -0.378
    0.5040          3    0.5930          7    0.5040      0.519    0.5040      1.178
    0.5080          0    0.5970          8    0.5080      0.519    0.5080     -0.378
    0.5120          0    0.6010          4    0.5120      0.519    0.5120     -0.378
    0.5160          1    0.6050         17    0.5160      0.519    0.5160      0.335
    0.5200          0    0.6090         25    0.5200      0.519    0.5200     -0.378
    0.5240          0    0.6130         42    0.5240      0.519    0.5240     -0.378
    0.5280          0    0.6170         87    0.5280      0.519    0.5280     -0.378
    0.5320          1    0.6210        171    0.5320      0.519    0.5320      0.335
    0.5360          0    0.6250        349    0.5360      0.519    0.5360     -0.378
    0.5400          0    0.6290        656    0.5400      0.519    0.5400     -0.378
    0.5440          1    0.6330       1174    0.5440      0.519    0.5440      0.335
    0.5480          0    0.6370       2008    0.5480      0.519    0.5480     -0.378
    0.5520          2    0.6410       3040    0.5520      0.519    0.5520      0.856
    0.5560          0    0.6450       4754    0.5560      0.519    0.5560     -0.378
    0.5600          1    0.6490       6483    0.5600      0.519    0.5600      0.335
    0.5640          1    0.6530       8288    0.5640      0.519    0.5640      0.335
    0.5680          0    0.6570      10528    0.5680      0.519    0.5680     -0.378
    0.5720          2    0.6610      11840    0.5720      0.519    0.5720      0.856
    0.5760          0    0.6650      12846    0.5760      0.519    0.5760     -0.378
    0.5800          0    0.6690      12606    0.5800      0.519    0.5800     -0.378
    0.5840          0    0.6730      11702    0.5840      0.519    0.5840     -0.378
    0.5880          0    0.6770      10273    0.5880      0.519    0.5880     -0.378
    0.5920          0    0.6810       8583    0.5920      0.519    0.5920     -0.378
    0.5960          0    0.6850       6924    0.5960      0.519    0.5960     -0.378
    0.6000          0    0.6890       5384    0.6000      0.519    0.6000     -0.378
    0.6040          1    0.6930       4148    0.6040      0.519    0.6040      0.335
    0.6080          0    0.6970       3243    0.6080      0.519    0.6080     -0.378
    0.6120          0    0.7010       2637    0.6120      0.519    0.6120     -0.378
    0.6160          1    0.7050       2287    0.6160      0.519    0.6160      0.335
    0.6200          0    0.7090       1836    0.6200      0.519    0.6200     -0.378
    0.6240          0    0.7130       1725    0.6240      0.519    0.6240     -0.378
    0.6280          3    0.7170       1582    0.6280      0.519    0.6280      1.178
    0.6320          0    0.7210       1543    0.6320      0.519    0.6320     -0.378
    0.6360          2    0.7250       1398    0.6360      0.519    0.6360      0.856
    0.6400          0    0.7290       1343    0.6400      0.519    0.6400     -0.378
    0.6440          1    0.7330       1265    0.6440      0.519    0.6440      0.335
    0.6480          4    0.7370       1252    0.6480      0.519    0.6480      1.445
    0.6520          0    0.7410       1191    0.6520      1.972    0.6520     -1.435
    0.6560          6    0.7450       1113    0.6560      3.792    0.6560      0.781
    0.6600          5    0.7490       1070    0.6600      5.840    0.6600     -0.319
    0.6640         14    0.7530       1112    0.6640      8.043    0.6640      1.489
    0.6680          8    0.7570       1037    0.6680     10.201    0.6680     -0.696
    0.6720          8    0.7610       1063    0.6720     12.180    0.6720     -1.322
    0.6760         19    0.7650       1047    0.6760     13.889    0.6760      1.115
    0.6800          9    0.7690       1028    0.6800     15.280    0.6800     -1.893
    0.6840         15    0.7730       1016    0.6840     16.359    0.6840     -0.330
    0.6880         18    0.7770        979    0.6880     17.151    0.6880      0.190
    0.6920         16    0.7810       1026    0.6920     17.714    0.6920     -0.404
    0.6960         15    0.7850        931    0.6960     18.109    0.6960     -0.754
    0.7000         23    0.7890        858    0.7000     18.395    0.7000      0.921
    0.7040         14    0.7930        910    0.7040     18.621    0.7040     -1.155
    0.7080         18    0.7970        882    0.7080     18.778    0.7080     -0.174
    0.7120         23    0.8010        863    0.7120     18.915    0.7120      0.817
    0.7160         18    0.8050        860    0.7160     19.038    0.7160     -0.232
    0.7200         18    0.8090        808    0.7200     19.159    0.7200     -0.259
    0.7240         20    0.8130        836    0.7240     19.266    0.7240      0.157
    0.7280         19    0.8170        759    0.7280     19.367    0.7280     -0.080
    0.7320         16    0.8210        788    0.7320     19.463    0.7320     -0.816
    0.7360         21    0.8250        788    0.7360     19.561    0.7360      0.300
    0.7400         25    0.8290        732    0.7400     19.655    0.7400      1.029
    0.7440         22    0.8330        717    0.7440     19.740    0.7440      0.461
    0.7480         23    0.8370        678    0.7480     19.822    0.7480      0.636
    0.7520         18    0.8410        749    0.7520     19.914    0.7520     -0.428
    0.7560         17    0.8450        651    0.7560     20.000    0.7560     -0.688
    0.7600         25    0.8490        674    0.7600     20.092    0.7600      0.945
    0.7640         13    0.8530        680    0.7640     20.185    0.7640     -1.855
    0.7680         16    0.8570        646    0.7680     20.277    0.7680     -1.008
    0.7720         23    0.8610        610    0.7720     20.370    0.7720      0.526
    0.7760         22    0.8650        633    0.7760     20.459    0.7760      0.314
    0.7800         21    0.8690        666    0.7800     20.557    0.7800      0.092
    0.7840         28    0.8730        619    0.7840     20.643    0.7840      1.343
    0.7880         15    0.8770        636    0.7880     20.718    0.7880     -1.387
    0.7920         26    0.8810        577    0.7920     20.800    0.7920      0.983
    0.7960         27    0.8850        557    0.7960     20.881    0.7960      1.136
    0.8000         15    0.8890        569    0.8000     20.960    0.8000     -1.446
    0.8040         27    0.8930        533    0.8040     21.039    0.8040      1.107
    0.8080         20    0.8970        546    0.8080     21.111    0.8080     -0.237
    0.8120         23    0.9010        579    0.8120     21.188    0.8120      0.362
    0.8160         25    0.9050        548    0.8160     21.254    0.8160      0.721
    0.8200         18    0.9090        535    0.8200     21.324    0.8200     -0.743
    0.8240         17    0.9130        462    0.8240     21.395    0.8240     -1.008
    0.8280         16    0.9170        499    0.8280     21.459    0.8280     -1.287
    0.8320         19    0.9210        502    0.8320     21.520    0.8320     -0.550
    0.8360         21    0.9250        474    0.8360     21.575    0.8360     -0.120
    0.8400         33    0.9290        484    0.8400     21.641    0.8400      1.920
    0.8440         21    0.9330        446    0.8440     21.694    0.8440     -0.145
    0.8480         20    0.9370        439    0.8480     21.749    0.8480     -0.373
    0.8520         21    0.9410        473    0.8520     21.806    0.8520     -0.168
    0.8560         25    0.9450        433    0.8560     21.858    0.8560      0.605
    0.8600         22    0.9490        419    0.8600     21.905    0.8600      0.019
    0.8640         31    0.9530        445    0.8640     21.954    0.8640      1.575
    0.8680         21    0.9570        414    0.8680     22.010    0.8680     -0.211
    0.8720         28    0.9610        402    0.8720     22.060    0.8720      1.085
    0.8760         15    0.9650        412    0.8760     22.112    0.8760     -1.725
    0.8800         24    0.9690        387    0.8800     22.155    0.8800      0.362
    0.8840         18    0.9730        403    0.8840     22.194    0.8840     -0.938
    0.8880         21    0.9770        396    0.8880     22.235    0.8880     -0.257
    0.8920         30    0.9810        381    0.8920     22.270    0.8920      1.366
    0.8960         24    0.9850        402    0.8960     22.308    0.8960      0.332
    0.9000         24    0.9890        369    0.9000     22.351    0.9000      0.323
    0.9040         21    0.9930        356    0.9040     22.390    0.9040     -0.290
    0.9080         27    0.9970        333    0.9080     22.427    0.9080      0.849
    0.9120         24    1.0010        323    0.9120     22.453    0.9120      0.303
    0.9160         21    1.0050        301    0.9160     22.483    0.9160     -0.309
    0.9200         17    1.0090        348    0.9200     22.514    0.9200     -1.265
    0.9240         18    1.0130        342    0.9240     22.542    0.9240     -1.016
    0.9280         22    1.0170        292    0.9280     22.570    0.9280     -0.116
    0.9320         28    1.0210        311    0.9320     22.594    0.9320      0.987
    0.9360         22    1.0250        305    0.9360     22.615    0.9360     -0.126
    0.9400         23    1.0290        307    0.9400     22.642    0.9400      0.072
    0.9440         23    1.0330        286    0.9440     22.664    0.9440      0.067
    0.9480         30    1.0370        237    0.9480     22.683    0.9480      1.294
    0.9520         21    1.0410        304    0.9520     22.705    0.9520     -0.356
    0.9560         27    1.0450        312    0.9560     22.724    0.9560      0.794
    0.9600         16    1.0490        272    0.9600     22.741    0.9600     -1.589
    0.9640         23    1.0530        266    0.9640     22.759    0.9640      0.048
    0.9680         25    1.0570        284    0.9680     22.773    0.9680      0.429
    0.9720         27    1.0610        272    0.9720     22.790    0.9720      0.782
    0.9760         20    1.0650        245    0.9760     22.806    0.9760     -0.598
    0.9800         24    1.0690        274    0.9800     22.820    0.9800      0.231
    0.9840         22    1.0730        249    0.9840     22.837    0.9840     -0.171
    0.9880         13    1.0770        215    0.9880     22.849    0.9880     -2.543
    0.9920         21    1.0810        232    0.9920     22.859    0.9920     -0.388
    0.9960         26    1.0850        243    0.9960     22.865    0.9960      0.592
    1.0000         25    1.0890        247    1.0000     22.869    1.0000      0.410
    1.0040         17    1.0930        233    1.0040     22.870    1.0040     -1.347
    1.0080         20    1.0970        222    1.0080     22.878    1.0080     -0.614
    1.0120         20    1.1010        195    1.0120     22.886    1.0120     -0.615
    1.0160         29    1.1050        254    1.0160     22.886    1.0160      1.098
    1.0200         20    1.1090        213    1.0200     22.889    1.0200     -0.616
    1.0240         25    1.1130        225    1.0240     22.891    1.0240      0.406
    1.0280         31    1.1170        194    1.0280     22.893    1.0280      1.411
    1.0320         25    1.1210        175    1.0320     22.893    1.0320      0.406
    1.0360         16    1.1250        203    1.0360     22.884    1.0360     -1.623
    1.0400         20    1.1290        200    1.0400     22.885    1.0400     -0.615
    1.0440         24    1.1330        186    1.0440     22.890    1.0440      0.218
    1.0480         24    1.1370        192    1.0480     22.888    1.0480      0.218
    1.0520         18    1.1410        187    1.0520     22.884    1.0520     -1.092
    1.0560         35    1.1450        171    1.0560     22.883    1.0560      1.992
    1.0600         25    1.1490        170    1.0600     22.881    1.0600      0.408
    1.0640         25    1.1530        174    1.0640     22.875    1.0640      0.409
